EFSA Q number,Parameter
EFSA-Q-2010-00127,Appearance
EFSA-Q-2010-00127,Residual (bound) phosphorus
EFSA-Q-2010-00127,Loss on drying (moisture content)
EFSA-Q-2010-00127,Arsenic(Heavy metals)
EFSA-Q-2010-00127,Lead(Heavy metals)
EFSA-Q-2010-00127,Mercury(Heavy metals)
EFSA-Q-2010-00127,pH
EFSA-Q-2010-00127,Sulphur dioxide
EFSA-Q-2010-00127,Carbohydrate
EFSA-Q-2010-00127,Starch
EFSA-Q-2010-00127,Sugar
EFSA-Q-2010-00127,Protein
EFSA-Q-2010-00127,Fat
EFSA-Q-2010-00127,Saturated
EFSA-Q-2010-00127,Cholesterol
EFSA-Q-2010-00127,Energy (caloric value)
EFSA-Q-2010-00127,Total dietary Fibre
EFSA-Q-2010-00127,Total viable count (TVC)(Microbiological Specifications)
EFSA-Q-2010-00127,Yeasts(Microbiological Specifications)
EFSA-Q-2010-00127,Moulds(Microbiological Specifications)
EFSA-Q-2010-00127,Escherichia coli(Microbiological Specifications)
EFSA-Q-2010-00127,Salmonella(Microbiological Specifications)
